,total_up_cost,fixed_cap_inv_unadjusted,fixed_cap_inv,total_fixed_op_cost,total_cap_investment,land_cost,working_cap,catalysts_chemicals,cap_replacement_parts,salaries,benefits,maintenance,lab,insurance_taxes,base_employee_salary_cost,cat_and_chem_cost,labor_and_other_fixed,consumer_price_index,electricity_cost,other_var_cost
swoi,22.373362938679037,20.308784299213205,20.980305672286153,0.31257152427014817,22.06079141440889,0.03147045850842923,1.0490152836143076,1.0453142293148077,1.033065562329054,0.020961868700225365,0.01886568183020283,0.16784244537828924,0.06294091701685846,0.04196061134457231,0.020308784299213206,0.0,1.032157729945335,1.0345822112412675,1.9846379558897305,-1.9846379558897305
coag_floc,13.654196217986414,11.765810442524561,11.76581044264222,0.17531057559536906,12.371749680438294,0.01764871566396333,0.588290522132111,1.00000000001,1.00000000001,0.01176581044264222,0.010589229398377998,0.09412648354113776,0.03529743132792666,0.02353162088528444,0.011765810442524562,1.0087274362389558,1.00000000001,1.00000000001,0.0984085257137973,0.0
tri_media_filtration,17.8424915966316,11.748151363683936,12.751327816467448,0.1913094977009938,13.408021199015522,0.019126991724701174,0.6375663908233724,1.0948846182937026,1.0853901538828097,0.013443282151008927,0.012098953935908034,0.10201062253173959,0.03825398344940235,0.025502655632934898,0.011748151363683937,0.0,1.1442891511055095,1.1041413025155016,4.2431608999150825,0.0
SAA,0.6960874562584204,0.351383943503347,0.4181918809166612,0.006274513099171803,0.4397287627838693,0.0006272878213749918,0.020909594045833063,1.4497931099098118,1.1901280313130695,0.0004410624459237935,0.0003969562013314141,0.00334553504733329,0.0012545756427499836,0.0008363837618333225,0.000351383943503347,0.250073098615914,1.2552151402432885,1.260734425014082,1.1081759465337866e-05,0.0
SBA,1.1967827188932991,0.35182066006663343,0.4187116295403671,0.0062823113604402216,0.440275278461696,0.0006280674443105506,0.020935581477018357,1.4497931099098118,1.1901280313130695,0.00044161061916602563,0.00039744955724942306,0.003349693036322937,0.0012561348886211013,0.0008374232590807342,0.00035182066006663343,0.7502117936547836,1.2552151402432885,1.260734425014082,1.333541637948018e-05,0.0
cf,12.784666456151845,11.044381522198634,11.987462959919636,0.17984915379634717,12.604817302355498,0.017981194439879455,0.5993731479959818,1.0948846182937026,1.0853901538828097,0.01263796595652205,0.011374169360869846,0.09589970367935709,0.03596238887975891,0.023974925919839272,0.011044381522198634,0.0,1.1442891511055095,1.1041413025155016,0.0,0.0
ro,316.9474517147324,223.11909983748305,265.54029503792793,3.984142532660642,279.21562023238124,0.3983104425568919,13.277014751896397,1.4497931099098118,1.1901280313130695,0.2800624721934626,0.25205622497411634,2.1243223603034234,0.7966208851137838,0.5310805900758558,0.22311909983748304,0.0,1.2552151402432885,1.260734425014082,33.74768894969047,0.0
lime,57.30789825278101,52.909988552654475,52.909988553183574,0.7883588294424352,55.63485296367253,0.07936498282977536,2.645499427659179,1.00000000001,1.00000000001,0.05290998855318357,0.04761898969786522,0.4232799084254686,0.15872996565955072,0.10581997710636715,0.052909988552654476,0.7832152458781875,1.00000000001,1.00000000001,0.10147121378785193,0.0
co2,8.38881732522371,7.64696728740081,7.771336751010299,0.11578653246066825,8.17156059368733,0.011657005126515449,0.38856683755051497,1.0221551430412668,1.016263893767978,0.0077679761565970324,0.0069911785409373295,0.062170694008082394,0.023314010253030898,0.015542673502020599,0.00764696728740081,0.0,1.0158244261611524,1.0169972051511103,0.10147019907571406,0.0
chlor,10.074920388539239,8.699222749029003,9.442050718229428,0.14166006914503443,9.928316330218243,0.014163076077344142,0.47210253591147144,1.0948846182937026,1.0853901538828097,0.009954426214764136,0.008958983593287723,0.07553640574583542,0.028326152154688283,0.018884101436458856,0.008699222749029003,0.004886263356970726,1.1442891511055095,1.1041413025155016,5.7725818990211193e-05,0.0
ammonia,0.8645192183539998,0.6811028797887719,0.8105996294446735,0.012162163411651678,0.8523455103610741,0.0012158994441670101,0.040529981472233675,1.4497931099098118,1.1901280313130695,0.0008549306467741711,0.0007694375820967539,0.006484797035557387,0.0024317988883340203,0.0016211992588893468,0.0006811028797887719,0.0,1.2552151402432885,1.260734425014082,1.1544581274050032e-05,0.0
TWS_24_hr,12.911309785247271,9.709850280018678,12.152730204170268,0.13271397556223485,12.778595809685036,0.018229095306255404,0.6076365102085135,1.4976775368123207,1.251587805548212,0.01218795108097498,0.010969155972877481,0.04879321748753105,0.03645819061251081,0.024305460408340536,0.009709850280018677,0.0,1.2552151402432885,1.2963801900070397,0.0,0.0
muni,7.791494826844434,4.383435865719189,4.3834358657630235,0.06531319439986906,4.609182812849819,0.006575153798644535,0.21917179328815117,1.00000000001,1.00000000001,0.004383435865763024,0.003945092279186722,0.03506748692610419,0.01315030759728907,0.008766871731526047,0.00438343586571919,0.0,1.00000000001,1.00000000001,3.116998819594745,0.0
